id,xcoord,ycoord
"1",256029.15974889,9075039.2179033
"1",256049.582762294,9075044.75982654
"1",256063.232313966,9075053.99636527
"1",256074.624045061,9075059.84617313
"1",256090.941930143,9075059.33303209
"1",256102.333661238,9075071.03264781
"1",256105.899991469,9075067.96663009
"1",256109.030151816,9075068.28734324
"1",256382.508669309,9075035.29237434
"1",256451.885337974,9075064.02827261
"1",258663.215337573,9075435.8502705
"1",258665.883670984,9075438.31334749
"1",258672.862389133,9075439.85277061
"1",258724.330435488,9075457.81270703
"1",258731.924922886,9075461.04549558
"1",258736.594506354,9075458.58241859
"1",258746.292872018,9075460.99418148
"1",258751.475596526,9075462.07177766
"1",258756.042551786,9075463.45725847
"1",259650.755269868,9075858.93505833
"1",259655.168282815,9075860.47448145
"1",259662.660142005,9075862.62967382
"1",259658.862898306,9075860.26922503
"1",259669.125719115,9075866.52954573
"1",259676.207065473,9075871.04518688
"1",259680.825334836,9075872.58461
"1",259683.596296455,9075873.8161485
"1",259687.701424778,9075876.07396908
"1",259691.088155645,9075876.27922549
"1",259695.603796801,9075878.02390503
"1",259872.073000602,9076029.65708248
"1",259885.312039445,9076029.86233889
"1",260253.952562885,9076022.3191656
"1",260277.762307161,9076028.6821145
"1",260285.972563807,9076029.29788375
"1",260311.424359412,9076041.81852514
"1",261065.228547794,9076073.1201286
"1",261076.620278891,9076068.60448744
"1",261081.033291839,9076068.80974386
"1",261086.575215075,9076069.83602594
"1",261093.143420393,9076069.52814132
"1",261102.687843745,9076070.86230802
"1",261109.769190103,9076070.6570516
"1",261114.695344091,9076070.6570516
"1",263408.025281949,9076541.41264209
